city,cadastral_ref,full_address,municipality,province,postal_code,use,property_class,surface_m2,total_built_surface_m2,year_built,num_floors_above_ground,floor,door,latitude,longitude,cadastral_value,coeff_participation,use_types,market_data_level,avg_rent_apt_m2_month,avg_rent_house_m2_month,estimated_monthly_rent,estimated_market_value,estimated_price_m2,ine_province_code,ine_municipality_code,street_type,street_name,street_number
MADRID,0848004VK4704H0001GZ,CL GRAN VIA 10 28013 MADRID (MADRID),MADRID,MADRID,28013,Ocio y Hosteleria,UR,6025,6025,2016,8,,,40.4196888,-3.6986206,,"100,000000","ALMACEN, HOTELERO, COMERCIO, OCIO HOSTEL.",municipality,13.97,11.77,84169,20200560,3353,28,79,CL,GRAN VIA,10
MADRID,0645402VK4704D0001FI,CL ALCALA 11 28014 MADRID (MADRID),MADRID,MADRID,28014,RDL 1/2004 8.2a,UR,38882,38882,1997,8,,,40.3244778,-3.781031,,"100,000000","ALMACEN, PUBLICO",municipality,13.97,11.77,543182,130363680,3353,28,79,CL,ALCALA,11
BARCELONA,0227802DF3802E0001WX,PS GRACIA 43 08007 BARCELONA (BARCELONA),BARCELONA,BARCELONA,08007,"Obras de urbanización y jardineria, suelos sin edificar",UR,4165,4165,2017,6,,,41.3915446,2.1646961,,"100,000000","ELEMENTOS COMUNES, PUBLICO",municipality,13.68,11.4,56977,13674480,3283,08,19,PS,GRACIA,43
SEVILLA,4928703TG3442H0001IT,CL SIERPES 5 41004 SEVILLA (SEVILLA),SEVILLA,SEVILLA,41004,Residencial,UR,215,215,1900,4,,,37.3924127,-5.9947989,,"100,000000","VIVIENDA, COMERCIO",municipality,9.17,6.04,1972,473280,2201,41,91,CL,SIERPES,5
SEVILLA,5318021TG3451G0001XY,CL SAN FERNANDO 5 41004 SEVILLA (SEVILLA),SEVILLA,SEVILLA,41004,Residencial,UR,925,925,1992,3,,,37.3823543,-5.9924885,,"100,000000","ALMACEN, OFICINA, VIVIENDA",municipality,9.17,6.04,8482,2035680,2201,41,91,CL,SAN FERNANDO,5
VALENCIA,5928601YJ2752H0031BT,CL PAZ 10 Es:1 Pl:B0 Pt:01 46003 VALENCIA (VALENCIA),VALENCIA,VALENCIA,46003,Comercial,UR,298,298,1987,1,B0,01,39.4735968,-0.3749173,,"14,000000","COMERCIO, ELEMENTOS COMUNES",municipality,8.18,7.05,2438,585120,1963,46,250,CL,PAZ,10
MALAGA,3553204UF7635S0001RO,CL VICTORIA 5 29012 MALAGA (MÁLAGA),MALAGA,MÁLAGA,29012,Residencial,UR,800,800,1850,6,,,36.6625873,-4.7525065,,"100,000000","VIVIENDA, OCIO HOSTEL.",municipality,9.55,6.6,7640,1833600,2292,29,67,CL,VICTORIA,5
MALAGA,2852118UF7625S0001AT,CL CARRETERIA 5 29008 MALAGA (MÁLAGA),MALAGA,MÁLAGA,29008,Residencial,UR,444,444,1995,5,,,36.7219557,-4.4249692,,"100,000000","VIVIENDA, COMERCIO, ELEMENTOS COMUNES",municipality,9.55,6.6,4240,1017600,2292,29,67,CL,CARRETERIA,5
MALAGA,3550215UF7635S0001GO,CL ALCAZABILLA 3 29015 MALAGA (MÁLAGA),MALAGA,MÁLAGA,29015,Religioso,UR,1377,1377,2000,5,,,36.7207614,-4.4174851,,"100,000000",RELIGIOSO,municipality,9.55,6.6,13150,3156000,2292,29,67,CL,ALCAZABILLA,3
ZARAGOZA,6437106XM7163E0001GJ,CL COSO 5 50003 ZARAGOZA (ZARAGOZA),ZARAGOZA,ZARAGOZA,50003,Residencial,UR,7605,7605,1936,8,,,41.6539349,-0.8841612,,"100,000000","ALMACEN, VIVIENDA, COMERCIO",municipality,7.72,5.48,58711,14090640,1853,50,297,CL,COSO,5
