Año;Tipo territorio;Código territorio;Territorio;Antigüedad;Valor;Unidad;Estado dato
2013;Municipios;0014;Acebeda (La);Hasta cinco años;-;Euros/m2;
2013;Municipios;0029;Ajalvir;Hasta cinco años;-;Euros/m2;
2013;Municipios;0035;Alameda del Valle;Hasta cinco años;-;Euros/m2;
2013;Municipios;0040;Álamo (El);Hasta cinco años;-;Euros/m2;
2013;Municipios;0053;Alcalá de Henares;Hasta cinco años;-;Euros/m2;
2013;Municipios;0066;Alcobendas;Hasta cinco años;-;Euros/m2;
2013;Municipios;0072;Alcorcón;Hasta cinco años;-;Euros/m2;
2013;Municipios;0088;Aldea del Fresno;Hasta cinco años;-;Euros/m2;
2013;Municipios;0091;Algete;Hasta cinco años;-;Euros/m2;
2013;Municipios;0105;Alpedrete;Hasta cinco años;-;Euros/m2;
2013;Municipios;0112;Ambite;Hasta cinco años;-;Euros/m2;
2013;Municipios;0127;Anchuelo;Hasta cinco años;-;Euros/m2;
2013;Municipios;0133;Aranjuez;Hasta cinco años;-;Euros/m2;
2013;Municipios;0148;Arganda del Rey;Hasta cinco años;-;Euros/m2;
2013;Municipios;0151;Arroyomolinos;Hasta cinco años;-;Euros/m2;
2013;Municipios;0164;Atazar (El);Hasta cinco años;-;Euros/m2;
2013;Municipios;0170;Batres;Hasta cinco años;-;Euros/m2;
2013;Municipios;0186;Becerril de la Sierra;Hasta cinco años;-;Euros/m2;
2013;Municipios;0199;Belmonte de Tajo;Hasta cinco años;-;Euros/m2;
2013;Municipios;0210;Berrueco (El);Hasta cinco años;-;Euros/m2;
2013;Municipios;0203;Berzosa del Lozoya;Hasta cinco años;-;Euros/m2;
2013;Municipios;0225;Boadilla del Monte;Hasta cinco años;-;Euros/m2;
2013;Municipios;0231;Boalo (El);Hasta cinco años;-;Euros/m2;
2013;Municipios;0246;Braojos;Hasta cinco años;-;Euros/m2;
2013;Municipios;0259;Brea de Tajo;Hasta cinco años;-;Euros/m2;
2013;Municipios;0262;Brunete;Hasta cinco años;-;Euros/m2;
2013;Municipios;0278;Buitrago del Lozoya;Hasta cinco años;-;Euros/m2;
2013;Municipios;0284;Bustarviejo;Hasta cinco años;-;Euros/m2;
2013;Municipios;0297;Cabanillas de la Sierra;Hasta cinco años;-;Euros/m2;
2013;Municipios;0301;Cabrera (La);Hasta cinco años;-;Euros/m2;
2013;Municipios;0318;Cadalso de los Vidrios;Hasta cinco años;-;Euros/m2;
2013;Municipios;0323;Camarma de Esteruelas;Hasta cinco años;-;Euros/m2;
2013;Municipios;0339;Campo Real;Hasta cinco años;-;Euros/m2;
2013;Municipios;0344;Canencia;Hasta cinco años;-;Euros/m2;
2013;Municipios;0357;Carabaña;Hasta cinco años;-;Euros/m2;
2013;Municipios;0360;Casarrubuelos;Hasta cinco años;-;Euros/m2;
2013;Municipios;0376;Cenicientos;Hasta cinco años;-;Euros/m2;
2013;Municipios;0382;Cercedilla;Hasta cinco años;-;Euros/m2;
2013;Municipios;0395;Cervera de Buitrago;Hasta cinco años;-;Euros/m2;
2013;Municipios;0513;Chapinería;Hasta cinco años;-;Euros/m2;
2013;Municipios;0528;Chinchón;Hasta cinco años;-;Euros/m2;
2013;Municipios;0409;Ciempozuelos;Hasta cinco años;-;Euros/m2;
2013;Municipios;0416;Cobeña;Hasta cinco años;-;Euros/m2;
2013;Municipios;0468;Collado Mediano;Hasta cinco años;-;Euros/m2;
2013;Municipios;0474;Collado Villalba;Hasta cinco años;-;Euros/m2;
2013;Municipios;0437;Colmenar de Oreja;Hasta cinco años;-;Euros/m2;
2013;Municipios;0421;Colmenar del Arroyo;Hasta cinco años;-;Euros/m2;
2013;Municipios;0455;Colmenar Viejo;Hasta cinco años;-;Euros/m2;
2013;Municipios;0442;Colmenarejo;Hasta cinco años;-;Euros/m2;
2013;Municipios;0480;Corpa;Hasta cinco años;-;Euros/m2;
2013;Municipios;0493;Coslada;Hasta cinco años;-;Euros/m2;
2013;Municipios;0506;Cubas de la Sagra;Hasta cinco años;-;Euros/m2;
2013;Municipios;0534;Daganzo de Arriba;Hasta cinco años;-;Euros/m2;
2013;Municipios;0549;Escorial (El);Hasta cinco años;-;Euros/m2;
2013;Municipios;0552;Estremera;Hasta cinco años;-;Euros/m2;
2013;Municipios;0565;Fresnedillas de la Oliva;Hasta cinco años;-;Euros/m2;
2013;Municipios;0571;Fresno de Torote;Hasta cinco años;-;Euros/m2;
2013;Municipios;0587;Fuenlabrada;Hasta cinco años;-;Euros/m2;
2013;Municipios;0590;Fuente el Saz de Jarama;Hasta cinco años;-;Euros/m2;
2013;Municipios;0604;Fuentidueña de Tajo;Hasta cinco años;-;Euros/m2;
2013;Municipios;0611;Galapagar;Hasta cinco años;-;Euros/m2;
2013;Municipios;0626;Garganta de los Montes;Hasta cinco años;-;Euros/m2;
2013;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;Hasta cinco años;-;Euros/m2;
2013;Municipios;0647;Gascones;Hasta cinco años;-;Euros/m2;
2013;Municipios;0650;Getafe;Hasta cinco años;-;Euros/m2;
2013;Municipios;0663;Griñón;Hasta cinco años;-;Euros/m2;
2013;Municipios;0679;Guadalix de la Sierra;Hasta cinco años;-;Euros/m2;
2013;Municipios;0685;Guadarrama;Hasta cinco años;-;Euros/m2;
2013;Municipios;0698;Hiruela (La);Hasta cinco años;-;Euros/m2;
2013;Municipios;0702;Horcajo de la Sierra-Aoslos;Hasta cinco años;-;Euros/m2;
2013;Municipios;0719;Horcajuelo de la Sierra;Hasta cinco años;-;Euros/m2;
2013;Municipios;0724;Hoyo de Manzanares;Hasta cinco años;-;Euros/m2;
2013;Municipios;0730;Humanes de Madrid;Hasta cinco años;-;Euros/m2;
2013;Municipios;0745;Leganés;Hasta cinco años;-;Euros/m2;
2013;Municipios;0758;Loeches;Hasta cinco años;-;Euros/m2;
2013;Municipios;0761;Lozoya;Hasta cinco años;-;Euros/m2;
2013;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;Hasta cinco años;-;Euros/m2;
2013;Municipios;0783;Madarcos;Hasta cinco años;-;Euros/m2;
2013;Municipios;0796;Madrid;Hasta cinco años;2955.4;Euros/m2;
2013;Municipios;0800;Majadahonda;Hasta cinco años;-;Euros/m2;
2013;Municipios;0822;Manzanares el Real;Hasta cinco años;-;Euros/m2;
2013;Municipios;0838;Meco;Hasta cinco años;-;Euros/m2;
2013;Municipios;0843;Mejorada del Campo;Hasta cinco años;-;Euros/m2;
2013;Municipios;0856;Miraflores de la Sierra;Hasta cinco años;-;Euros/m2;
2013;Municipios;0869;Molar (El);Hasta cinco años;-;Euros/m2;
2013;Municipios;0875;Molinos (Los);Hasta cinco años;-;Euros/m2;
2013;Municipios;0881;Montejo de la Sierra;Hasta cinco años;-;Euros/m2;
2013;Municipios;0894;Moraleja de Enmedio;Hasta cinco años;-;Euros/m2;
2013;Municipios;0908;Moralzarzal;Hasta cinco años;-;Euros/m2;
2013;Municipios;0915;Morata de Tajuña;Hasta cinco años;-;Euros/m2;
2013;Municipios;0920;Móstoles;Hasta cinco años;-;Euros/m2;
2013;Municipios;0936;Navacerrada;Hasta cinco años;-;Euros/m2;
2013;Municipios;0941;Navalafuente;Hasta cinco años;-;Euros/m2;
2013;Municipios;0954;Navalagamella;Hasta cinco años;-;Euros/m2;
2013;Municipios;0967;Navalcarnero;Hasta cinco años;-;Euros/m2;
2013;Municipios;0973;Navarredonda y San Mamés;Hasta cinco años;-;Euros/m2;
2013;Municipios;0992;Navas del Rey;Hasta cinco años;-;Euros/m2;
2013;Municipios;1006;Nuevo Baztán;Hasta cinco años;-;Euros/m2;
2013;Municipios;1013;Olmeda de las Fuentes;Hasta cinco años;-;Euros/m2;
2013;Municipios;1028;Orusco de Tajuña;Hasta cinco años;-;Euros/m2;
2013;Municipios;1049;Paracuellos de Jarama;Hasta cinco años;-;Euros/m2;
2013;Municipios;1065;Parla;Hasta cinco años;-;Euros/m2;
2013;Municipios;1071;Patones;Hasta cinco años;-;Euros/m2;
2013;Municipios;1087;Pedrezuela;Hasta cinco años;-;Euros/m2;
2013;Municipios;1090;Pelayos de la Presa;Hasta cinco años;-;Euros/m2;
2013;Municipios;1104;Perales de Tajuña;Hasta cinco años;-;Euros/m2;
2013;Municipios;1111;Pezuela de las Torres;Hasta cinco años;-;Euros/m2;
2013;Municipios;1126;Pinilla del Valle;Hasta cinco años;-;Euros/m2;
2013;Municipios;1132;Pinto;Hasta cinco años;-;Euros/m2;
2013;Municipios;1147;Piñuécar-Gandullas;Hasta cinco años;-;Euros/m2;
2013;Municipios;1150;Pozuelo de Alarcón;Hasta cinco años;-;Euros/m2;
2013;Municipios;1163;Pozuelo del Rey;Hasta cinco años;-;Euros/m2;
2013;Municipios;1179;Prádena del Rincón;Hasta cinco años;-;Euros/m2;
2013;Municipios;1185;Puebla de la Sierra;Hasta cinco años;-;Euros/m2;
2013;Municipios;9020;Puentes Viejas;Hasta cinco años;-;Euros/m2;
2013;Municipios;1198;Quijorna;Hasta cinco años;-;Euros/m2;
2013;Municipios;1202;Rascafría;Hasta cinco años;-;Euros/m2;
2013;Municipios;1219;Redueña;Hasta cinco años;-;Euros/m2;
2013;Municipios;1224;Ribatejada;Hasta cinco años;-;Euros/m2;
2013;Municipios;1230;Rivas-Vaciamadrid;Hasta cinco años;-;Euros/m2;
2013;Municipios;1245;Robledillo de la Jara;Hasta cinco años;-;Euros/m2;
2013;Municipios;1258;Robledo de Chavela;Hasta cinco años;-;Euros/m2;
2013;Municipios;1261;Robregordo;Hasta cinco años;-;Euros/m2;
2013;Municipios;1277;Rozas de Madrid (Las);Hasta cinco años;-;Euros/m2;
2013;Municipios;1283;Rozas de Puerto Real;Hasta cinco años;-;Euros/m2;
2013;Municipios;1296;San Agustín del Guadalix;Hasta cinco años;-;Euros/m2;
2013;Municipios;1300;San Fernando de Henares;Hasta cinco años;-;Euros/m2;
2013;Municipios;1317;San Lorenzo de El Escorial;Hasta cinco años;-;Euros/m2;
2013;Municipios;1322;San Martín de la Vega;Hasta cinco años;-;Euros/m2;
2013;Municipios;1338;San Martín de Valdeiglesias;Hasta cinco años;-;Euros/m2;
2013;Municipios;1343;San Sebastián de los Reyes;Hasta cinco años;-;Euros/m2;
2013;Municipios;1356;Santa María de la Alameda;Hasta cinco años;-;Euros/m2;
2013;Municipios;1369;Santorcaz;Hasta cinco años;-;Euros/m2;
2013;Municipios;1375;Santos de la Humosa (Los);Hasta cinco años;-;Euros/m2;
2013;Municipios;1381;Serna del Monte (La);Hasta cinco años;-;Euros/m2;
2013;Municipios;1408;Serranillos del Valle;Hasta cinco años;-;Euros/m2;
2013;Municipios;1415;Sevilla la Nueva;Hasta cinco años;-;Euros/m2;
2013;Municipios;1436;Somosierra;Hasta cinco años;-;Euros/m2;
2013;Municipios;1441;Soto del Real;Hasta cinco años;-;Euros/m2;
2013;Municipios;1454;Talamanca de Jarama;Hasta cinco años;-;Euros/m2;
2013;Municipios;1467;Tielmes;Hasta cinco años;-;Euros/m2;
2013;Municipios;1473;Titulcia;Hasta cinco años;-;Euros/m2;
2013;Municipios;1489;Torrejón de Ardoz;Hasta cinco años;-;Euros/m2;
2013;Municipios;1492;Torrejón de la Calzada;Hasta cinco años;-;Euros/m2;
2013;Municipios;1505;Torrejón de Velasco;Hasta cinco años;-;Euros/m2;
2013;Municipios;1512;Torrelaguna;Hasta cinco años;-;Euros/m2;
2013;Municipios;1527;Torrelodones;Hasta cinco años;-;Euros/m2;
2013;Municipios;1533;Torremocha de Jarama;Hasta cinco años;-;Euros/m2;
2013;Municipios;1548;Torres de la Alameda;Hasta cinco años;-;Euros/m2;
2013;Municipios;9036;Tres Cantos;Hasta cinco años;-;Euros/m2;
2013;Municipios;1551;Valdaracete;Hasta cinco años;-;Euros/m2;
2013;Municipios;1564;Valdeavero;Hasta cinco años;-;Euros/m2;
2013;Municipios;1570;Valdelaguna;Hasta cinco años;-;Euros/m2;
2013;Municipios;1586;Valdemanco;Hasta cinco años;-;Euros/m2;
2013;Municipios;1599;Valdemaqueda;Hasta cinco años;-;Euros/m2;
2013;Municipios;1603;Valdemorillo;Hasta cinco años;-;Euros/m2;
2013;Municipios;1610;Valdemoro;Hasta cinco años;-;Euros/m2;
2013;Municipios;1625;Valdeolmos-Alalpardo;Hasta cinco años;-;Euros/m2;
2013;Municipios;1631;Valdepiélagos;Hasta cinco años;-;Euros/m2;
